AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
95051,1201096,07/09/2018,10/06/2020,Nursing Home,ABBEY DELRAY,2105 SW 11TH COURT,,DELRAY BEACH,FL,33445,Palm Beach,(561) 454-1300,2105 SW 11TH COURT,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,LIFESPACE COMMUNITIES INC,07/01/1992,AMIN SANAIA,100,Not-For-Profit,
95052,1199096,07/09/2018,10/06/2020,Nursing Home,ABBEY DELRAY SOUTH,1717 HOMEWOOD BLVD,,DELRAY BEACH,FL,33445,Palm Beach,(561) 272-9600,1717 HOMEWOOD BLVD,,DELRAY BEACH,FL,33445,Palm Beach,LICENSED,LIFESPACE COMMUNITIES INC,04/12/2010,TREVOR MATCHIM,90,Not-For-Profit,www.lifespacecommunities.com
55201,10010961,07/01/2020,06/30/2022,Nursing Home,ABBEY REHABILITATION AND NURSING CENTER,7101 DR MARTIN LUTHER KING JR ST N,,SAINT PETERSBURG,FL,33702,Pinellas,(727) 527-7231,7101 DR MARTIN LUTHER KING JR ST N,,SAINT PETERSBURG,FL,33702,Pinellas,LICENSED,FI THE ABBEY LLC,07/01/2003,KIMBERLY DEVONNE CLOUD,152,Not-For-Profit,Abbeyhealthandrehab.com
95601,10020961,05/01/2020,04/30/2022,Nursing Home,ABBIEJEAN RUSSELL CARE CENTER LLC,700 S 29TH STREET,,FORT PIERCE,FL,34947,St. Lucie,(772) 465-7560,700 S 29TH STREET,,FORT PIERCE,FL,34947,St. Lucie,LICENSED,ABBIEJEAN RUSSELL CARE CENTER  LLC,02/03/2006,GUERCHONITE GUILLAUME,79,For-Profit,abbiejeanrussellcarecenter.com
35961029,130471047,04/01/2019,06/29/2021,Nursing Home,ADDINGTON PLACE AT WELLINGTON GREEN,10330 NUVISTA AVENUE,,WELLINGTON,FL,33414,Palm Beach,(561) 795-3360,10330 NUVISTA AVE,,WELLINGTON,FL,33414,Palm Beach,LICENSED,RK7 LLC,04/01/2019,ROBERT CAMPION,120,For-Profit,www.nvliving.com
55219,11290961,07/01/2019,09/28/2021,Nursing Home,ADVANCED CARE CENTER,401 FAIRWOOD AVE,,CLEARWATER,FL,33759,Pinellas,(727) 797-6480,401 FAIRWOOD AVE,,CLEARWATER,FL,33759,Pinellas,LICENSED,ADVANCED FACILITY INC,07/01/2015,DAVID A MCMILLON,120,For-Profit,http://www.advanced-cc.com/
74823,1528096,01/01/2019,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER APOPKA NORTH,305 EAST OAK STREET,,APOPKA,FL,32703,Orange,(407) 880-2266,305 EAST OAK STREET,,APOPKA,FL,32703,Orange,LICENSED,SUNBELT HEALTH AND REHAB CENTER-APOPKA  INC,01/01/2007,JEFFERY C LIND,120,Not-For-Profit,www.sunbeltapopka.com
75901,11550962,03/02/2020,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER APOPKA SOUTH,3355 E SEMORAN BLVD,,APOPKA,FL,32703,Seminole,(407) 862-6263,3355 E SEMORAN BLVD,,APOPKA,FL,32703,Seminole,LICENSED,FLNC  INC,01/01/2007,MICHAEL FOGG,222,Not-For-Profit,www.floridalivingnursing.com
35961077,130471071,03/26/2019,09/02/2021,Nursing Home,ADVENTHEALTH CARE CENTER CELEBRATION,1290 CELEBRATION BLVD.,,KISSIMMEE,FL,34747,Osceola,(321) 337-7400,485 NORTH KELLER ROAD,SUITE 250,MAITLAND,FL,32751,Orange,LICENSED,TRI-COUNTY NURSING and REHABILITATION CENTER  INC.,03/26/2019,DIANE MACSWEENEY,120,Not-For-Profit,www.adventhealth.com
74822,15290961,03/01/2019,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER ORLANDO EAST,250 SOUTH CHICKASAW TRAIL,,ORLANDO,FL,32825-3308,Orange,(407) 380-3466,485 N KELLER RD,STE 250,MAITLAND,FL,32751-7535,Orange,LICENSED,EAST ORLANDO HEALTH & REHAB CENTER  INC,01/01/2007,SCOTT H SMITH,120,Not-For-Profit,www.eastorlandohealth.com
35960956,130471014,01/01/2019,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER ORLANDO NORTH,730 COURTLAND STREET,,ORLANDO,FL,32804,Orange,(407) 975-3800,730 COURTLAND STREET,,ORLANDO,FL,32804,Orange,LICENSED,ADVENTIST CARE CENTERS - COURTLAND  INC,01/01/2007,GEORGE CARRAZANA,120,Not-For-Profit,www.acccourtland.com
35961071,130471064,09/17/2018,12/15/2020,Nursing Home,ADVENTHEALTH CARE CENTER WATERMAN,4501 WATERMAN WAY,,TAVARES,FL,32778,Lake,(352) 609-4000,485 NORTH KELLER ROAD,SUITE 2500,MAITLAND,FL,32751,Orange,LICENSED,FOUNTAIN INN NURSING & REHABILITATION CENTER  INC.,06/15/2018,KIM A RIDINGER,120,Not-For-Profit,www.adventistcare.org
35960923,130470988,01/01/2018,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER ZEPHYRHILLS NORTH,7350 DAIRY RD,,ZEPHYRHILLS,FL,33540,Pasco,(813) 788-4300,7350 DAIRY RD,,ZEPHYRHILLS,FL,33540,Pasco,LICENSED,ZEPHYRHILLS HEALTH & REHAB CENTER INC,01/01/2007,KATHRYN KONDOLF-HARMER,113,Not-For-Profit,www.zephyrhillshealth.com
55111,16150961,01/02/2019,03/31/2021,Nursing Home,ADVENTHEALTH CARE CENTER ZEPHYRHILLS SOUTH,38250 A AVE,,ZEPHYRHILLS,FL,33542,Pasco,(813) 782-5508,38250 A AVE,,ZEPHYRHILLS,FL,33542,Pasco,LICENSED,ZEPHYR HAVEN HEALTH & REHAB CENTER  INC,01/01/2007,RICHARD J KUHLMEYER,120,Not-For-Profit,www.zephyrhaven.com
35960961,130471019,06/11/2018,09/08/2020,Nursing Home,ALEXANDER "SANDY" NININGER STATE VETERANS NURSING HOME,8401 W CYPRESS DR,,PEMBROKE PINES,FL,33025,Broward,(954) 985-4824,8401 W CYPRESS DR,,PEMBROKE PINES,FL,33025,Broward,LICENSED,FLORIDA DEPARTMENT OF VETERAN'S AFFAIRS,02/21/2006,LAWRENCE P. MILITELLO,120,Not-For-Profit,www.floridavets.org
55202,1006096,06/27/2018,09/24/2020,Nursing Home,ALHAMBRA HEALTH AND REHABILITATION CENTER,7501 38TH AVE N,,SAINT PETERSBURG,FL,33710,Pinellas,7273459307,7501 38TH AVE N,,SAINT PETERSBURG,FL,33710,Pinellas,LICENSED,ALHAMBRA NH  L.L.C.,06/27/2003,JAMES WILLIAM MARSHALL,60,For-Profit,www.greystonehealth.com
46429,10080961,07/01/2020,06/30/2022,Nursing Home,ALLIANCE HEALTH AND REHABILITATION CENTER,130 W ARMSTRONG AVENUE,,DELAND,FL,32720,Volusia,(386) 734-6401,130 W ARMSTRONG AVENUE,,DELAND,FL,32720,Volusia,LICENSED,THE ALLIANCE COMMUNITY FOR RETIREMENT LIVING  INC.,06/01/1994,KEVIN J SMAAGE,130,Not-For-Profit,www.alliancecommunity.org
55203,10090951,01/01/2020,03/31/2022,Nursing Home,ALPINE HEALTH AND REHABILITATION CENTER,3456 21ST AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,(727) 327-1988,3456 21ST AVE S,,SAINT PETERSBURG,FL,33711,Pinellas,LICENSED,SENIOR HEALTH ALPINE LLC,01/01/2001,CHRISTOPHER EDELMAN,57,Not-For-Profit,www.alpinehealthandrehab.com
70507,14040951,05/07/2020,01/29/2022,Nursing Home,ANCHOR CARE AND REHABILITATION CENTER,1515 PORT MALABAR BLVD NE,,PALM BAY,FL,32905-5455,Brevard,(321) 723-1235,1515 PORT MALABAR BLVD NE,,PALM BAY,FL,32905-5455,Brevard,LICENSED,LP PALM BAY  LLC,11/01/2007,ARTHUR BEECHER,120,For-Profit,https://www.ltcrevolution.com/
55224,11830962,09/20/2018,12/18/2020,Nursing Home,APOLLO HEALTH AND REHABILITATION CENTER,1000 24TH ST N,,SAINT PETERSBURG,FL,33713,Pinellas,7273234711,1000 24TH ST N,,SAINT PETERSBURG,FL,33713,Pinellas,LICENSED,GREENBROOK NH  L.L.C.,09/20/2000,ANDREA MCCULLOUGH,99,For-Profit,www.greystonehealth.com
